"cz","Name","Density_of_Jobs_in_2013"
"cz29101","Concordia, KS",3.495
"cz28607","McCook, NE",3.471
"cz28602","Norton, KS",3.415
"cz26411","Sidney, MT & ND",3.331
"cz21003","Ironwood, MI & WI",3.319
"cz39201","La Grande, OR",3.308
"cz26602","Sisseton, SD",3.288
"cz32302","Brady, TX",3.277
"cz32604","Vernon, TX",3.203
"cz34601","Gillette, WY",3.177
"cz36402","Vernal, UT",3.094
"cz35902","Price, UT",3.087
"cz38401","Lewiston, ID & WA",2.905
"cz32305","Del Rio, TX",2.882
"cz28302","Ogallala, CO & NE",2.877
"cz35500","Gallup, AZ & NM",2.855
"cz26303","Turtle Mountain UT, ND",2.832
"cz30602","Alamogordo, NM",2.785
"cz31402","Pecos, TX",2.768
"cz28603","Phillipsburg, KS",2.761
"cz35002","Safford, AZ",2.704
"cz27703","Torrington, WY",2.696
"cz36501","Klamath Falls, CA & OR",2.638
"cz26301","Devils Lake, ND",2.636
"cz26702","Grafton, MN & ND",2.614
"cz28301","Sterling, CO",2.593
"cz26802","Lisbon, ND",2.585
"cz32304","Uvalde, TX",2.561
"cz37603","Portola, CA",2.39
"cz31006","Guymon, KS & OK & TX",2.356
"cz36403","Soda Springs, ID",2.345
"cz34805","Alamosa, CO",2.295
"cz36401","Steamboat Springs, CO",2.273
"cz30905","Wellington, TX",2.268
"cz30604","Deming, NM",2.232
"cz29007","Township 11, KS",2.212
"cz31003","Scott City, KS",2.206
"cz35802","Ontario, ID & OR",2.196
"cz26302","Carrington, ND",2.191
"cz35202","Gunnison, CO",2.185
"cz28604","Colby, KS",2.162
"cz34303","Riverton, WY",2.161
"cz27002","Ord, NE",2.145
"cz32502","Childress, TX",2.125
"cz27001","O'Neill, NE",2.104
"cz26604","Mobridge, SD",2.102
"cz34304","Sheridan, MT & WY",2.062
"cz34301","Cody, WY",2.019
"cz31304","Mason, TX",1.994
"cz36404","Rock Springs, UT & WY",1.99
"cz26004","International Falls, MN",1.987
"cz26003","West Cook UT, MN",1.982
"cz34502","Libby, MT",1.956
"cz28605","Goodland, KS",1.943
"cz27004","Winner, SD",1.9
"cz32603","Seymour, TX",1.826
"cz34801","Las Vegas, NM",1.72
"cz27009","Chamberlain, SD",1.687
"cz28305","Broken Bow, NE",1.672
"cz26804","Cooperstown, ND",1.656
"cz34202","Shelby, MT",1.646
"cz35402","Cortez, CO & UT",1.638
"cz34302","Worland, WY",1.551
"cz35904","Richfield, UT",1.496
"cz34109","Juneau, AK",1.491
"cz26409","Glendive, MT & ND",1.442
"cz28601","Oberlin, KS",1.434
"cz26305","Rugby, ND",1.398
"cz35903","Moab, UT",1.371
"cz32303","Junction, TX",1.358
"cz30906","Memphis, TX",1.357
"cz27605","Mission, SD",1.347
"cz29008","Center, KS",1.342
"cz27012","Gettysburg, SD",1.339
"cz28606","Wano, KS & NE",1.306
"cz32503","Haskell, TX",1.302
"cz28503","Trinidad, CO",1.285
"cz29002","Coldwater, KS",1.265
"cz26407","Plentywood, MT",1.259
"cz34305","Miles City, MT",1.251
"cz34201","Havre, MT",1.25
"cz37903","Mammoth Lakes, CA",1.233
"cz26402","Baker, MT",1.233
"cz27704","Gordon, NE & SD",1.213
"cz26406","Wolf Point, MT",1.144
"cz35803","McCall, ID",1.104
"cz31403","Fort Stockton, TX",1.074
"cz27010","Miller, SD",1.072
"cz26403","Bowman, ND",1.04
"cz26203","Linton, ND",1.038
"cz34111","Ketchikan, AK",1.033
"cz34602","Rawlins, WY",1.015
"cz37601","Elko, NV",1.008
"cz34204","Lewistown, MT",0.9779
"cz28504","Burlington, CO",0.9776
"cz34108","Kodiak, AK",0.944
"cz27003","Ainsworth, NE",0.9428
"cz39202","Enterprise, OR",0.91
"cz34114","Unalaska, AK",0.9056
"cz34104","Bristol Bay, AK",0.8892
"cz26204","Steele, ND",0.8859
"cz30603","Truth or Consequences, NM",0.8615
"cz34401","Dillon, MT",0.8322
"cz26404","Lemmon, ND & SD",0.801
"cz34110","Sitka, AK",0.7891
"cz28402","Limon, CO",0.7689
"cz26202","East Grant UT, ND",0.7462
"cz26603","East Corson UT, ND & SD",0.7447
"cz37602","Winnemucca, NV",0.7162
"cz28501","Springfield, CO",0.7112
"cz28303","Oshkosh, NE",0.7053
"cz27602","Eagle Butte, SD",0.7043
"cz31404","Alpine, TX",0.6756
"cz34803","Tucumcari, NM",0.6668
"cz26405","Scobey, MT",0.6325
"cz27603","Southwest Jackson UT, SD",0.6183
"cz39205","John Day, OR",0.617
"cz27604","Murdo, SD",0.6146
"cz26408","Glasgow, MT",0.598
"cz34307","Colstrip, MT",0.5769
"cz36302","Salmon, ID",0.5413
"cz28304","Valentine, NE",0.5407
"cz34902","Socorro, NM",0.5345
